airline_sentiment,text
negative,trying get someone cancelled flightled flight tomorrow hours
negative,handle bag issues wouldnt put onto first place
negative,yeah guys told call website booked booked website unacceptable
negative,worst
positive,sent thanks vp
negative,well horrible flaw system hours past day ive wasted ive got job amp family crazy
negative,open kiosks priority line open main check ppl
neutral,became best friends bcuz way
positive,got another flight thanks
negative,tkt grp cxld flight gets stuck back cs site phone agents took rebook
positive,got gate thanks checking
positive,landing anchorage way fairbanks
negative,help attempting cancelled flight flight cant get thru number call gets dropped saying agent flight
positive,loyal im driving nyc pa fly virgin since cut philly flights
negative,call wait times minutes airport wait times longer
negative,arent twitter reservations connected people want reservations duh
negative,hold music needs fixedcertain tracks loud phone button mashing tones themestimated wait time would help
positive,absolute best team customer service ever every time fly im delighted thank
negative,love friendly staff asking updates delayed flights causing missed connections horribleattitudes
negative,thanks cancelled flightled flight delayed flight telling us missed work hotel worstcustomerservice
negative,quick person traveling mosaic get green tag doesnt make sense end waitin sons bag anyway
negative,thats clever clear need agents min hold counting flex workforces highly possible
positive,also working wc coach good thing bird landed ahead schedule use wc stat
negative,need check candy working flight iah phx usairways reason always choose rude
neutral,basically need leave hawaii late flight evening midnight get back philly late flight monday night trips get tues
neutral,rt fleets fleek
neutral,flight us passing ft morning
negative,far ive gotten six different answers
negative,experienced defines customer service flight attendant willing follow passenger bag charges
negative,theres direct miami seat rebooked niece tuesday cant get phones customerservicefail
negative,gladly take loyal customers money cause inconvenience nothing help fix problem caused
neutral,update flights bna today
neutral,dream
negative,hour hold far
negative,customers arent dumb revenue based programs hurt everyone gonna save money like think
neutral,cant even accommodate us letting us fly another airport horrible service fault
negative,hoped contacted wks ago responded still issued us funds frustrated
negative,another twist plot took miami return due unsecured cargo door stressful vacation ever
negative,logan boarding gong show due lax carry enforcement bins full coats room bags need better system
negative,another line call hold hours also get compensated loss time money
negative,two days trying reach americanairlines customer service change flight
positive,thanks aa dart getting home time work morning dendfw didnt waste vaca day
neutral,today left sunglasses seat please help get back unitedairlines
negative,least get response tried gate person sent wrong way cust srvc cust srvc found
negative,also didnt ice frozen metal walkway wasted minutes one knew simple jobs
positive,thanks gate checking baggage full flight dfwlax giving early boarding sweet
negative,im constantly challenges upgrades amp charges order prevent dvt pay addtl
negative,ltltltltlt shoddy customer service use whatsoever unitedairline
neutral,please get new york area monday afternoon
negative,thanks making everyone wait dark hour newark tries figure gate go incompetence
neutral,lisa amazing guy much
negative,guys screwing trip thanks nothing lazy
negative,thx someone picked minutes
positive,would like thank customer service team response cancelled flightled flight offering cont
positive,thank much appreciated
negative,site seems little wonked right may want look tried two browsers css
positive,nicest people ever flight chicagothanks david deane amp norma sedholm making feel comfortable ✈️✈️✈️✈️✈️✈️✈️
negative,dont like hear poor experience please share details wour customer care team
negative,let seriously unhappycustomer
positive,hello southwestair im happy flying morning dalmdw looking forward comfortable fight
neutral,connecting flight
neutral,im aware fly lot sad change shoes boots ha happyflight
negative,lost sunglasses amp case flight last night lost amp found
neutral,giving tix destinationdragons show would appreciate one two laflying phl lax friday
negative,passengers hour delayed flight left hotel end night hou airport wtf
neutral,ceo kelly draws record crowd business partnership breakfast
negative,yet
negative,hold minutes calling flight delayed type service acceptable
negative,wondering reason customer service busy hold past days many hours answer help plz
positive,sounds like date
negative,destination waiting hours missing second flight luggage made flight though
negative,hung
negative,membership privileges anymore son army short window see help
negative,okaaaaay ugh im min away
negative,looking forward waiting hold hrs reschedule flight bunch idiots work airline
positive,awesome thank much help
negative,literally sucks
negative,website
neutral,flight tomorrow
neutral,promise unfollow
neutral,release november flights flight booking problems
negative,hours sorry dont get oh well screw weekend az right eat hotel problem
negative,late flight broke luggage handle paying new one
positive,got squared away someone picked soon tweeted tweeted sooner
negative,im direct tv isnt working avoid future
positive,definitely compliment really thought bag lost sent another airport end happy customer
negative,ewr mco made unplanned landing pressurization failure worst pain ive ever felt thought going pass
negative,hit typical wait time right drive airport service desk
positive,thanks much got thru phone amp everything fine love website amp app thanks working
negative,fly wu much however kiosks broken syr woman working ticket counter
negative,obviously staff ewr united otherwise seen ads friendly helpful ewr worst airport
negative,happy wife bday trip would like fully compensated flights
negative,usually raving service lax helper cant figure hang coat serve drink
negative,rude rep trying book family vacation using trvl credit phone new rep helpful
negative,flying min delay mechanical issues perhaps consider maintenance
neutral,much ur wifi fam
negative,feel well informed yes flight indeed delayed thank
negative,flight cancelled flightled wont let rebook online wait time phone long please help
negative,better get free flight
negative,well drop luggage hours flight ridiculous
negative,trying check online flight tomorrow tried computer tablet phone got error message devices
negative,thank much asking us pay switch different flight could spend time dying nephew
negative,nothing express express bag drop phoenix sky harbor
positive,twice year hard get vacation time work sometimes love flying guys
neutral,could send dm
negative,ill give reward whoever finds returns thurs fly back thru ❤️ earrings
negative,checked app since yesterday confirmed upgrade amp carry got counter amp manager upgraded somebody else seat
negative,unfortunately bad experience flying saturday inpolite crew bad delays
negative,help cancelled flightled flight id like book another flightive hold minutes counting
positive,love tv ad girl dancing makes laugh every time want take trip
negative,youre honoring miles traveled last year
negative,lol little late flight
negative,youre airline ridiculous
neutral,understand weather kids need get home nice kids volunteer work ri high school please help
negative,cancelled flighted sm response slow
negative,still waiting supposed depart
negative,less concerned delay notified looked board flight delayed
neutral,book award travel etihad dividend miles
negative,blaming flight luggage debacle luggagegate
negative,like call back system thought youd like know working well received three calls theres audio
positive,best airline flown oneasy change reservationhelpful representatives amp comfortable flying experience
negative,word failure means act instance failing proving unsuccessful lack success nonperformance something due
positive,alright please give scott bdl bonus excellent customer service
neutral,get copy last flight showing original time delay need work thanks
positive,thank
negative,yes starting flight getting home hours late flightr record locator bsuxlu
negative,dang thought teleportation device
negative,ive never treated badly
negative,poor storm customer service takeoff delay waiting snack cart rude steward names love guys trueblue
positive,thanks opportunity
negative,sitting denver airport waiting plane refueled hour half hurry fuck united fucking retards
positive,thanks update
negative,missed flight connection due flight attendant delay yet voucher part fail
negative,making folks run gate explanation zero carts transfer elderly handicap phl
negative,waiting almost hours trying rebook flights please help us get someone
negative,little help us husband hold hour something take minutes complete
negative,say dumb things beat around bush youre flight cancelled flightled prepared compassion
neutral,followed dmd
neutral,systemic problem mail comes usairways spf record disallows dm detail
positive,id least enjoy free cocktailor two
positive,great flight phoenix dallas tonightgreat service time makes happy
neutral,would love go hawaii visit pearl harbor
negative,something crew current leg request gate team next leg
positive,done thnx
negative,dont stand alone bought tix based usair confirmed flight good confirmation change anyway
negative,onlyinamerica days word unitedairlines customerservices bad pr guys
neutral,anywhere warm cause freezing nyc
negative,twitter cust svc rule dont say fell short told cant solve problem dont say anything
positive,americanview new paint scheme looks great usairways
negative,united flight ever time americanisbetter
neutral,gate get plane
neutral,hear new thing planes flyfi check flight im going take
neutral,left something plane landing midway last night responsible adult got number call ty
negative,minutes arrival bags people den ewr long wait ual rep comes
negative,sure would bother agent airport didnt help amp nobody phone would ticket cancelled flightled reason
neutral,volumes profit aviation aircargo
negative,said havent started looking gave limit nyc waldorf astoria cant find outfit
negative,im concerned cancelled flight flight bna tomorrow
negative,sitting plane gate due computer sys issue point cancelled flight flight ridiculous
negative,ok pilots looking agents jumped flt dfw crazy
neutral,jetblue sofly wish firststari seetonight
negative,flight supposed depart boston departing due issues finding pilot thanks lot
positive,thanks
neutral,okayyyy huge irons way promise shenanigans
negative,use another browser amp brand reputation built tech response doesnt crossbrowser compatible website
negative,agents werenot helpful told would pay even though tld bwi whch part trvl advsry
neutral,cant view seat selectionchange seat flight tomorrow look
negative,hope flight delayed flight attendant didnt come work nobackup
neutral,heart flying
neutral,know could use flight canada time figured late flight check bags
positive,share value common
negative,stuck sju several hours one answering really tough luv sw response bad
positive,miami agents rachel wong marisol pimentel pleasant world chaos big thank
positive,crew great job keeping everyone informed delays givethemraises
negative,three hours hold disconnected conf ebhset need home sunday interview
negative,maintenance issues flight issues passengers miss connections needing get
positive,despite shaky connections looks like ill get home tonight great job touch go
negative,need apology need fix competent manner
negative,understand weather issue cant expect passengers wait hours inside airports whatever reason outrageous
negative,something wrong phone system call someone dont play recorded flight notification late flight
negative,sato rebooked upset travel office fix couldnt
negative,captain turned seat belt sign people get walk around thats good
negative,unacceptable way agents gate treat paying customers
negative,god damn fucking crew wont till youve known hour half flight time bullshit
neutral,flight number sfo cabo san lucas arrived yet
negative,flight nycbuenos aires delay since yesterday going take give us answers
neutral,take lesson know treat customers
negative,sfopdx schedule still mia
positive,love hipster innovation feel good brand
negative,fleets fleek
positive,yeah figured thanks
negative,asked flight attendant typical compensation would amp says might get free tv unacceptable
negative,appreciate credit troubles lack personal response troubles
positive,ok thx
negative,thanks see agent unhelpful got vouchers others unexplained reasons
negative,seriously want wait hours flight prepare family funeral
neutral,hi relatives flight booking problems number name clarita jaramillo mejia thank
positive,thanks getting back nashville big thanks pilots baltimore flying snow landing ice
negative,really need customer service training unhappy ees morning chicago gate chking schd
positive,love music blasting gate boston waiting flight sanfrancisco could get iced coffee
negative,going nightmare guys yesterday zero response tweet last sent
neutral,father kind enough offer pay hotel cant use coupon pays fl help
negative,gabriela miami rude employeeworking mialga check made experience unpleasant customerexperience
negative,impossible change buy preferred seats via app
negative,would take voucher offered miscounting seats plane means would fly
negative,guys gay
negative,cant check site looks like every time loads
neutral,great go carrieunderwood
negative,late flightr still cant figure random text updates embarrassing
negative,bad customer service experience help
positive,way fly elevate gold
negative,weve today courtesy allow passenger oxgen tank sit bad business
negative,literally smallest seats ever dad got stuck tiny bathroom ad well disspointed
neutral,anything get tickets would mean much destinationdragons
neutral,hello world record attempt amount ball point pens collection please could help pen
neutral,thank info changes need made phone correct way aa agent call directly
negative,customer service nightmare hold hour im platinum member aa feel like worthless
negative,learned although travel policy waive change feeyou still charged reservation fee
negative,hold hour need rebook flight cancelled flighted help
negative,flight cancelled flightlations finally get flight get gate time amp youve given seats away seriously
neutral,add ktn existing reservation
neutral,dm possible arent following
neutral,many left im min wway
negative,okay someone look fear lost forever small item
negative,thanks leaving hanging destinationdragons flights fucked help
positive,looking forward finally take
neutral,anything yet jj
neutral,got bags today thanks
negative,way making phones calls need handle via twitteremailweb thank
neutral,want change flight due weather conditions dallas weekend able cover change fee miles
negative,make happen please else cruise luggage tomorrow
negative,link doesnt work ive tried tracking bag several times still doesnt clarify
neutral,well spelled name wrong
positive,cldnt happier many plastic wing pins given flight love amazing staff nice
negative,spent choppiest feed whiplash ever americanairlinesfail iwantmymoneyback
neutral,helpcomplaint forms website used matter applies actual ticketed flight
positive,often airline easy work needed change flight time attendants mke made day
positive,aww thanks aadfw gma amso understand btw aa airline im able trvlove guys
neutral,follow well proceed
negative,boston
neutral,winter weather denver extended tomorrow chance even late flightr day would super helpful
negative,never fly
negative,always happy start life new wife hr travel delay due maintenece would appear incompetence
negative,fail see telling caller bag may take hours get jfk brooklyn best
negative,ive sitting charlotte airport hours waited crew maintenance neveragain
negative,definition mine min vastly different understand need get plane maint honest
neutral,think itboarding chill untz untz untzlike
neutral,forgot password dont know username correct want use miles
negative,miserable trip lost bag sat found mon lost shipping day ground tues might return flight home
positive,ok gotcha ✈️
negative,im showing flight delayed would boarding pass still good seat given away
positive,time awesome flight great job american
negative,im also mosaic customer fly jet blue alot
positive,thanks gate agent state college pa able get earlier flight figure earlier connection
negative,doesnt best fare finder work
negative,yesterdays cancelled flighted flight customer support awful
negative,beyond redemption jfk baggage claim looks like luggage warehouse
negative,taylor gotta love swa responsiveness least huh
negative,never awful customer service conflicting service outrageous
neutral,new schedule open takes us past
neutral,unitedairlines wont wait fam old connecting flight leaves early instead airport planes last stop today
positive,well played lo
negative,keep missing updated connections need make jax friends wedding strandedattheairport
negative,us kim says leaving minutes paperwork done wheels hours late flightr
negative,yes able get push notification via app i’m logged trip emailtext
neutral,flights leaving dallas la february
negative,booked paid flight get denver specific time meeting failed wasnt caused weather
negative,link didnt work via mobil
negative,chat support working site
neutral,whats layover canada scheduled
negative,ok app doesnt seem working use mobile site
negative,flight brother rebooked able give info phone get pass club
neutral,voucher expires next week get extension expires
negative,gold forced pay upgrade open seats offered goldsapphire
neutral,flight
negative,would like supervisor talk waiting flight attendant one walked amp left
positive,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
neutral,yes obviously stinks one option supposed fly yesterday
negative,flight keep getting delayed late flightr late flightr
negative,tried reaching guys im running time patience want flight honor want confirmation
neutral,little vino wouldnt hurt
neutral,dm info
negative,travel booked thru united group dept okc ticket agent less willing help connection lax
negative,think boarded flight early think
positive,thank like quick response twitter
negative,employee responsible social media content yes probably care however actions last night say otherwise
negative,dont believe impossible agents get update delivery company since yesterday
neutral,chance get tix tweeting since january destinationdragons
negative,particular reason minutes counting speak human
positive,crew tonight outstanding god bless medically trained passengers board
neutral,im flying summer able leave miami airport hour stopover
neutral,way get entry las vegas event see perform destinationdragons
negative,sir rt fleets fleek
neutral,basically right
negative,wifi sf chicago thats ps tech intro video joke epicfail
negative,thats gist flight attendant told
positive,thanks great customer service today
negative,landed lax hour late flight bag check business travel friendly nomorevirgin
negative,please someone contact regarding missing bag days online tracking shows nothing
positive,thank confirmation
negative,inlaws flight cancelled flighted tonight auto rebooked flight tuesday doesnt work help reflight booking problems
negative,dont time taking amtrak home call partial refunds
negative,capital one explained false fraud alert jet blue representative issue new tkt wasnt resolved
negative,etd phl appears delayed info available gate
positive,chairs could use tlc power outlets area would bonus headed
positive,match americanairlines status cool
negative,direct messages going please help
neutral,want guys first fly cuba nyc
negative,see response obviously think service acceptable customerservicefail
positive,flyingitforward affects one small family four would make huge difference life
negative,check still saying havent paid ive called back twice hold minutes answered hung
negative,waiting airport since wait tomorrow cannot get sort help
neutral,vegas baby doesnt good time vegas lol
positive,nice see veterans advantage program gate sunday mcokeep good work jetblue
negative,hanging customers high volume customer service tried resolve via dmstill waitingso bad aafail
negative,marked completed im scared im going lose reservation money going refunded
negative,flight cancelled flightled laguardia louisville ky stuck airport guys compensate
negative,suck
negative,often airplane seatstray tables cleaned sanitized rather air purifier clean seats wifi
neutral,hi im flying sfolaxsalclo connecting time lax enough time collect bag recheck av
negative,already spoke someone several times matter one sympathetic fly us home early complimentary
negative,worst experience time never ever ever travel ever
negative,please get plane together go jetblue
negative,flight des moines cancelled flightled unacceptable booked flight tuesday work commitments hold
positive,thanks getting rescheduled direct flight nola tonight minutesand hopefully hour earlier getting
negative,wait hours talk someone changed flight
positive,hopefully application jetblue donut designer finally go proper channels
negative,see tweeting little min ago ignoring cs request cantlogoutofunitedwifi
negative,answer phones trying change reservation havent able get human pick two days
negative,need updates flights amp hold hours
positive,haha boarding pass boarding plane gate agent told go im worries
neutral,flying flight tomorrow pbi boarding position flight overbooked funeral attend
neutral,virgin america fly direct seattle nyc boston
positive,thanks shoutout candace enjoy ride” always adore american airlines
neutral,went sacramento minneapolis end october business class
negative,kid wants fucking money scumbag
negative,dmd issue persisting
positive,best airways follow please✌️✌️✌️
positive,thanks recommendation weve sitting minutes last update min ago
negative,landed miami waiting gate someone team help us
negative,reliable system couldnt find info said refund credit card
negative,flight san angelo via dallas orlando cancelled flighted help hold disconnect
negative,felt bit like adding insult injury since well terminal seven hours next flight
negative,wasnt delay counter wouldnt take valid cac card valid id needed tsa precheck pass
negative,hours sitting plane hasnt left gate yet hours actual flying left
negative,yes says reservation cannot retrieved time also never got email aa saying flight cancelled flightled
positive,male flight attendant flight orlando indy amazing needs raise best experience
negative,cabin pressurization issues pretty serious flight landed washington head pounding
neutral,amen
negative,spent hour phone got
positive,great thank
negative,service leaves lot desired flight early short staffing means wait tarmacthanks
negative,far worst airline terms service jfk
negative,checked app since yesterday confirmed upgrade amp carry got counter amp manager upgraded somebody else seat
negative,says agents busy try back late flightr
negative,flight going make connection mex
neutral,thanks lindsey idea ill get stuck denver told listen intercom better
negative,need know status cancelled flightled instead delaying flight
neutral,understand tough way get airport wo serious risk accident steep price
negative,want helpful save trip westchester cty jfk plus parking info photo
neutral,hi guys flights still time site app cant check thanks
negative,happens many times upsetting see poorly airline treats customers
neutral,daughters college game denver one set parents
negative,something wrong website matter flight select says longer available
neutral,usa help line accidentally booked flight thursday instead wednesday want switch
negative,seen messages past hour
negative,flight delayed still sitting runway minutes far air travel best
negative,fleets fleek plz stop
negative,rudest crew member experience throwing shade calling customers reachingnewlows
negative,still reply email sent february even sent email asking acknowledgment thats recieved nothing
positive,ok thank helpful youre favorite airline
neutral,fact chrishasmadeusblush isnt trending know im loyal
negative,certainly
negative,figured delay listed almost hrs thanks great cheers
negative,almost like punished living near large metro area ewr top ranked domestic delays good
negative,come home day late flight find guys lost luggage
positive,love three really cant beat classics
neutral,celebrates anniversary new livery digital journal
negative,rebook flight board bham
neutral,invite fallow learn activitiesprevention programs health condomrito familywe
positive,ok first time flying tonight
negative,pooling gifting completely different shouldnt charged send points disgusting
neutral,get refund instead credit flight cancelled flightled couldnt switch flight tomorrow
negative,give us information attitude
negative,tell point realize cant fly dca tonight cancelled flightled cancelled flight
negative,problem won flight ua called rebooked found hotel taxi
negative,rebooked cancelled flighting flight crew expired boarding unacceptable started delaying
negative,know see estimated time dep dont understand wasnt better estimate hrs ago
neutral,keep updated let know bags make flight jburg
neutral,stop trying make fleek happen pointsme
negative,ticket please refund unnecessary upgrade fee
neutral,thank
neutral,luck finalizing reservation dmd information please let know else need want confirm asap thx
positive,thatd nice hoping rack enough miles take trip seattle enjoy perfect latte city coffee
negative,contacted directly phone service laissez faire best problem isnt cancelled flightled flight
negative,hours minutes hold counting thanks help customerservice brutal
negative,hold wcustomer service line minutes phone agent min bf call droped
negative,inbound flight dep time gets closer push back min youve hrs
neutral,embossed badges patches superior ones currently using
negative,overzealous stewardess prevented us bringing car seat worstflight
negative,sure happened msp yesterday unhappy bag delayed sat msp hrs delivery
negative,bit steamed conjunction wmy new wait first sat bought bit tea ive settled
negative,booked flight ago seat confirmed small plane arrived allowed board bcs seat horrible service
negative,whats pricing cache book flight refreshed page amp price jumped ridiculous
negative,nope done supposed get home didnt get home midnight neveragain
neutral,want plane dad
negative,youre flight attendants suck always rude bad experience jetblue tonight
neutral,weather delays gt next weeks jfk bos dca
negative,could update suitcase please online phone tracking told nothing told id back yesterday
neutral,thats thought thanks clarification
neutral,boom
negative,thats cool
negative,caught earlier flight ord gate checked bag youve lost ohare original flight lands frustrating
positive,far good stepped denver next stop portland
negative,tried offered charge additional new ticket stranded thurs time last time
negative,worst still havent left everyone missing connections
negative,thx responding cant watch mins film wout cutting prolonged prds time beyond frustrating
negative,hours hours four hours like joke
negative,flight departs enroute
negative,car accident way airport missed flight rno dca trying resched line hr wait
negative,close
negative,offered voucher switch flights voucher offer doesn’t exist amp gate agent switched delayed flight
negative,really screwed dealing mechanical failure maui san francisco poor communication bad help getting connections
negative,realize weather day day flights keep getting cancelled flighted please prioritize ur passengers help
negative,great job losing one six bags direct flight dont know manage
neutral,sure im running version
negative,thats point say counter clearly see site aa agent loss words
negative,frozen lines flight continuing due passenger comfort ok sat plane long flight vegas would
neutral,happened
neutral,flt mht fun kids grandkids jack says hi
positive,made upgrade list fly tomorrow min first time ever statusmatchpaidoff
positive,thanks great customer service today amp helping get travel sorted
positive,thank way get bag thanks number
negative,delayed going home getting really tired delays
negative,help invest planes people less stock buybacks executive pay maybe would disappoint
negative,leave jaipur tomorrow back dehli delhi one night need use abilities make magic
negative,surprised took mins never experienced anything like number
negative,hot food hour flight crazy couldnt eat phl bc original connection min late flight gives phltolas
negative,flight attendants jerks
negative,wasted another hour life hold insanity another way use voucher payment online
neutral,oh yeah guess two different things weird things brain thanks xox
negative,dont ever tweet
negative,earned place worst airline business
neutral,put sun carry rt right would heat wave enjoy warmth bring home jj”
negative,two hour wait exps sit jfk phx flight us computers shot lax flight
positive,thanks help totally appreciate made super easy
positive,thx smooth landing today applauded abt weather takemeback
positive,thanks ellamae las counter going beyond help us get back abq flight cancelled flightled
positive,thank filled claim hope bags tomorrow
positive,worries customer service gets bad wrap spoke agent saved huge amounts time amp apologized yesterday
negative,wanted cancelled flightled tickets special guess even united
